character,averageOrder,count,name
Mama G,6.71429,2,G
Committte Member,9.5,2,Member
Picture Restorer,8.5,2,Restorer
Lord Moping,6.25,2,Moping
History Professor,8.5,2,Professor
Tete,9.5,2,Tete
The Tenant,9.33333,2,Tenant
Flint Twin,7.5,2,Twin
Robbie Rotten,8.3125,2,Rotten
Public District Citizen,9,2,Citizen
Art Instructor,6.5,2,Instructor
Pale,7.5,2,Pale
Sneer,7,2,Sneer
Frontiersman,10,2,Frontiersman
Kyte,9,2,Kyte
Corporate Spy,5.25,2,Spy
Tv Broadcasting Student,6.5,2,Student
Karate Instructor,8.5,2,Instructor
Title Newscaster,9.5,2,Newscaster
Grand Mother,7,2,Mother
The Midwife,8,2,Midwife
Annonceur Radio,8.56522,2,Radio
Purse Thief,7,2,Thief
Gossiping Woman,8.5,2,Woman
Gambler'S Wife,6,2,Wife
Company Manager,10,2,Manager
Manto,7.5,2,Manto
Science Officer,9,2,Officer
Knave Of Hearts,8,2,Hearts
Big Lumberjack,8,2,Lumberjack
Luger,6,2,Luger
Dr. O,8.75,2,O
Guest Builder,8,2,Builder
Children'S Presenter,7.5,2,Presenter
Chief Of The Secret Service,9.5,2,Service
Sadness,7,2,Sadness
Chen'S Father,9.5,2,Father
Figuration,7.2,2,Figuration
Scout Hunk,7.75,2,Hunk
Violent Customer,9,2,Customer
Nako,7,2,Nako
Lounger,10,2,Lounger
Party Guest  - Nonsex Role,7.5,2,Role
Celery,7.09259,2,Celery
Kwatera'S Owner,8.5,2,Owner
Student Horror Film Extra,8.25,2,Extra
Tante Bassa,7.5,2,Bassa
Fester Fumble,6.5,2,Fumble
The Office Manager,5.5,2,Manager
D. Quixote,7.25,2,Quixote
The First Lover,7.5,2,Lover
Ambulance Bearer,7,2,Bearer
Teashop Customer,9.5,2,Customer
Mr. Henpeck,7,2,Henpeck
Historical Advisor,9.5,2,Advisor
Pudding,8.5,2,Pudding
3Rd Student,10,2,Student
Tv Actor,8.5,2,Actor
Door Knocker,8,2,Knocker
Magic Shop Owner,6.5,2,Owner
Bet,7,2,Bet
Redhead'S Lover,7.5,2,Lover
Justin Time,5.5,2,Time
Mr. Ass,9,2,Ass
Resort Manager,9,2,Manager
A Zamindar,9.5,2,Zamindar
Catfish,8,2,Catfish
Quarry,9.5,2,Quarry
Cinema Manager,9,2,Manager
Grime,7.5,2,Grime
Sean'S Father,9.5,2,Father
Peter'S Mother,9,2,Mother
Lucida,8.08333,2,Lucida
1St Fireman,8.5,2,Fireman
Charlie'S Mum,9,2,Mum
Masher,8.5,2,Masher
Fennel,9,2,Fennel
Shareholder,6,2,Shareholder
The Explainer,5.25,2,Explainer
Keith'S Mother,9.5,2,Mother
Television Director,7,2,Director
Woman In Red Dress,9.5,2,Dress
Dental Receptionist,8,2,Receptionist
Female Diner,7,2,Diner
Ayumi Ito,8.8,2,Ito
Office Woman,8.5,2,Woman
Igor'S Wife,6.5,2,Wife
Creepy,9,2,Creepy
Spirit Of Christmas Past,8.5,2,Past
Liang'S Father,9,2,Father
Anne'S Mother,8.5,2,Mother
Love Seminar Participant,9.5,2,Participant
Carbine,9.3125,2,Carbine
Blackie - Henchman,7.5,2,Henchman
The Lone Cornmeal Machine,6.53571,2,Machine
Kiran'S Father,5.125,2,Father
Male Bartender,9,2,Bartender
El Padre,7,2,Padre
The Evil One,9.25,2,One
Himself - Reporter,8.5,2,Reporter
Gallery Member,9.75,2,Member
Research Technician,9.5,2,Technician
Modern Talking,6.5,2,Talking
Garden Party,6.5,2,Party
Rn Visiting Nurse,7.5,2,Nurse
Position Actor,7,2,Actor
A Villain,8,2,Villain
Dough,6.25,2,Dough
Heterosexual Student,9.5,2,Student
Le Noir,8,2,Noir
Red Army'S Commissar,9.5,2,Commissar
Orson Vulture,8.5,2,Vulture
Ferio,8,2,Ferio
The Police Chief'S Wife,7,2,Wife
Naiad,5.75,2,Naiad
Concert Audience Member,9,2,Member
Spanker,6.83333,2,Spanker
Rusa,9,2,Rusa
The Desperado,5.5,2,Desperado
Tante Droll,8,2,Droll
Soy,5.5,2,Soy
Jacques Rival,8,2,Rival
Head Cleaner,9,2,Cleaner
Le Pompier,8.5,2,Pompier
Femme Couple,9.5,2,Couple
Gi Ant,7.33333,2,Ant
Chief Of Intelligence,7,2,Intelligence
Senior Citizen,7,2,Citizen
Transcription,9.5,2,Transcription
Guy In Gym,9,2,Gym
Boy In Class,6.5,2,Class
Magwash Extra,5,2,Extra
Grand Daughter,8.5,2,Daughter
Tourist Woman,8.5,2,Woman
Grape,8,2,Grape
Sero,7.25,2,Sero
Nibs,8,2,Nibs
Second Citizen,8.5,2,Citizen
Executor,9,2,Executor
Military Instructor,9,2,Instructor
Asparagus,6.5,2,Asparagus
Chesterfield Spokesman,6.5,2,Spokesman
2Nd Thug,8.5,2,Thug
Earthquake,6.41667,2,Earthquake
Fujioka'S Relative,7.5,2,Relative
Evil Nurse,8,2,Nurse
Hot Bartender,6,2,Bartender
Un Passant,8,2,Passant
Las Ketchup,7.5,2,Ketchup
Predikant,7.5,2,Predikant
Female Peasant,8.5,2,Peasant
Society Woman,7.5,2,Woman
Book Keeper,9,2,Keeper
Mammoth,6.75,2,Mammoth
Strangler,7.5,2,Strangler
Erica Anderson'S Daughter,6.5,2,Daughter
Hogtied Blonde,5.5,2,Blonde
Ratna'S Father,7.5,2,Father
Themselves,9.5,2,Themselves
Their Mother,7.5,2,Mother
The Town Drunk,8.5,2,Drunk
Football Wife,6.25,2,Wife
Hr Interviewer,8.5,2,Interviewer
The Crocodile,10,2,Crocodile
Man In Library,8.5,2,Library
Sappho,7.5,2,Sappho
Mrs. Quickly,9.75,2,Quickly
Traffic School Student,6.5,2,Student
Tomato,8,2,Tomato
Glamour Model,6.5,2,Model
Man On The Phone,6.75,2,Phone
Pub Owner,9,2,Owner
Angry Actress,9.5,2,Actress
Annihilator,8,2,Annihilator
Groundsman,7.5,2,Groundsman
Tow Truck Operator,10,2,Operator
Tsu Chi Volunteer,7,2,Volunteer
Girl Gang Member,9.5,2,Member
Malleus,5,2,Malleus
Novio Defensor,6.5,2,Defensor
Gutt,8.5,2,Gutt
Mr. E,5.68056,2,E
Dental Nurse,9,2,Nurse
Chief Nurse,8,2,Nurse
Sundar,9.25,2,Sundar
Diving Instructor,8.5,2,Instructor
Hallway Student,7.25,2,Student
Technology Addict,6.5,2,Addict
Charles Hornblower,7.5,2,Hornblower
The Hairdresser,6,2,Hairdresser
Nemesis Prime,6,2,Prime
Riff'S Costume,8,2,Costume
Biscuit,5.35714,2,Biscuit
Dai Bando,9,2,Bando
Live Announcer,9,2,Announcer
Papaw,7,2,Papaw
Pete'S Wife,7.5,2,Wife
Police Officer At Crime Scene,7.5,2,Scene
Continuity Announcer,7.48413,2,Announcer
Filthy,9.5,2,Filthy
The Fat Controller,4.96341,2,Controller
Forensic Photographer,7.5,2,Photographer
Kidoodlers' Member,9.5,2,Member
Correctional Guard,8.5,2,Guard
Don Horror,8.5,2,Horror
Stingo,9.5,2,Stingo
Racetrack Spectator,7.5,2,Spectator
Hotel'S Worker,6,2,Worker
Wesley'S Father,8.25,2,Father
Space Olympics Athlete,6.5,2,Athlete
Nid,9.5,2,Nid
Maryna'S Mother,8,2,Mother
Simsim,8,2,Simsim
Sexy Lifeguard,7.27778,2,Lifeguard
Air Guitar,8,2,Guitar
Polka,9.5,2,Polka
District 2 Voice,8.5,2,Voice
Novice Detective,7,2,Detective
Antique Shop Owner,9.5,2,Owner
Marquito,9,2,Marquito
Mushy,7.18182,2,Mushy
Recepcionista De Hotel,8.5,2,Hotel
Leading Role,8.5,2,Role
Wiggle Member,6.5,2,Member
The Thespian,5.22727,2,Thespian
Army Chaplain,9,2,Chaplain
Survivor Couple,7.5,2,Couple
Sonar,6,2,Sonar
Crooked Contractor,8.5,2,Contractor
Bonehead,6.875,2,Bonehead
Mika'S Father,5.75,2,Father
Blonde Stripper,9.5,2,Stripper
Wilmer X,7.75,2,X
Jail Cop,8.25,2,Cop
3Rd Box Occupant,8.5,2,Occupant
The Buyer,8.5,2,Buyer
Another Gossip,9.5,2,Gossip
Moi,7.5,2,Moi
Religious Fanatic,7.5,2,Fanatic
The Men,9.5,2,Men
Dancing Teacher,9.5,2,Teacher
Youth Choir,9.5,2,Choir
Jako,6.66667,2,Jako
Partenaire Au Building,9.5,2,Building
The Squire'S Wife,8.5,2,Wife
Meth Addict,9.25,2,Addict
Carl'S Dad,7,2,Dad
Countrywoman,8,2,Countrywoman
3Rd Witch,7.25,2,Witch
Member Of Dramatic Club,8.5,2,Club
Molly'S Mother,9,2,Mother
Consoling Woman,7.5,2,Woman
Himself - Director,8,2,Director
Daughter With Father,9.5,2,Father
Test Group Member,7,2,Member
Merch,9,2,Merch
Running Club Member,8.5,2,Member
Himsel - Host,5,2,Host
The Shoplifter,9,2,Shoplifter
Eleven,7.5,2,Eleven
Additional Puppet Performer,6.5,2,Performer
Female Workout Partner,8.5,2,Partner
Filthy Crew Member,9.5,2,Member
Johnny V,10,2,V
Frank The Bartender,8,2,Bartender
Musical Act,5.75,2,Act
Kindergartener,9.75,2,Kindergartener
Deuce Gorgon,6,2,Gorgon
Male Police Officer,6.75,2,Officer
Mauler,6,2,Mauler
Gannet,7.75,2,Gannet
Teen Bully,8,2,Bully
Dealer Zombie,6.5,2,Zombie
Weather Forecaster,5.25,2,Forecaster
Jonathan'S Father,7.5,2,Father
Shrapnel,7.75,2,Shrapnel
Kedge,9,2,Kedge
Tarsier,9.5,2,Tarsier
Avarice,8,2,Avarice
Odd,7,2,Odd
Member Of The Audience,6.5,2,Audience
Kung Fu Instructor,8.5,2,Instructor
Concert Promoter,7,2,Promoter
Freshman,7.5,2,Freshman
Baby Grizzly,7,2,Grizzly
Calico,7.75,2,Calico
Civil Servant,8,2,Servant
Literature Teacher,7.5,2,Teacher
Reality Show Host,7.5,2,Host
Botones Del Hotel,8.5,2,Hotel
Nawab,8,2,Nawab
Incomer,9,2,Incomer
Lily'S Mother,9,2,Mother
Female Vampire,7.25,2,Vampire
Government Operative,8.75,2,Operative
The Human Turkey,9.5,2,Turkey
Mob Bodyguard,8,2,Bodyguard
Wealthy Investor,8,2,Investor
The Hotelkeeper,7,2,Hotelkeeper
Ez Way Angel - Host,7,2,Host
Concessionist,8.5,2,Concessionist
Property Owner,8,2,Owner
Nypd Officer,7.25,2,Officer
Newsreader On Radio,9.5,2,Radio
Timor,7,2,Timor
Bog,8,2,Bog
Photo Assistant,8,2,Assistant
Man At Accident,8,2,Accident
Jeep,6.5,2,Jeep
Rolf Hornblower,9.5,2,Hornblower
Even Dozen,5.5,2,Dozen
Chen'S Wife,8.5,2,Wife
Rocket Raccoon,5.09524,2,Raccoon
Herse,8.5,2,Herse
Military Men,8,2,Men
Lead Actor,10,2,Actor
Club,7.5,2,Club
Islander,5.16667,2,Islander
Mr. Lunt,7.5,2,Lunt
In Vice Committee,6.5,2,Committee
Alien Announcer,7.08333,2,Announcer
Round Four,8.5,2,Four
Music Journalist,8,2,Journalist
Niu Devil,8.5,2,Devil
Old Prisoner,8,2,Prisoner
Woman In The Restaurant,8.5,2,Restaurant
Male Student C,10,2,C
Toralei Stripe,9.5,2,Stripe
Adam'S Dad,9,2,Dad
Woodpecker,7.88889,2,Woodpecker
Hotdog Vendor,5.25,2,Vendor
Gallery Woman,7.75,2,Woman
2Nd Journalist,9.5,2,Journalist
Announcement In Station,9,2,Station
Slinky,7.58333,2,Slinky
Nobita'S Dad,8,2,Dad
Sixth Former,9.5,2,Former
Fencer,9,2,Fencer
Blonde Bound To Chair,5.5,2,Chair
The Love Interest,7,2,Interest
Tv Viewer,9.5,2,Viewer
Camp Guard,8.5,2,Guard
Merman,6,2,Merman
Monica'S Lover,9.5,2,Lover
Syndicate Men,9.5,2,Men
Male Scientist,7,2,Scientist
Outlander,8,2,Outlander
Customer In Pub,7.5,2,Pub
Farm Worker,9.5,2,Worker
Attending Physician,5.5,2,Physician
Little Girl Victim,8.25,2,Victim
Un Partouzeur Dans Le Studio Photo,9.5,2,Photo
Yang Duan He,9.3,2,He
Slam,9.08333,2,Slam
Pizza,8.5,2,Pizza
The Dark Passenger,6,2,Passenger
Coppietta Al Locale,9,2,Locale
Chicago Police Officer,7.25,2,Officer
Detective'S Assistant,8,2,Assistant
Backing Vocals In The Elton John Band,9.5,2,Band
Tax Collector,9.5,2,Collector
Member Of Bill'S Old Gang,9.5,2,Gang
Mongrel,8,2,Mongrel
Mélanie Van Leer,8,2,Leer
Warden'S Daughter,7.75,2,Daughter
Mario'S Wife,8.5,2,Wife
Milo'S Dad,8.125,2,Dad
Nominee: Best Actor In A Leading Role - Comedy,7.5,2,Comedy
Dying Woman,8.5,2,Woman
Mr. Referee,9.75,2,Referee
Assistant Principal,7.75,2,Principal
One Of The Neighborhood Kids,7.5,2,Kids
Call Center Worker,6.75,2,Worker
Xfx Soldier,7.25,2,Soldier
Cell Phone Woman,7.25,2,Woman
Sock,7,2,Sock
Environmental Health Officer,9,2,Officer
The Store Owner,7.5,2,Owner
Laundromat Owner,9,2,Owner
Flashback Sequence,9,2,Sequence
The Apple Woman,7,2,Woman
Duke Of Norfolk,9,2,Norfolk
Mabel Dredge,9.5,2,Dredge
Team Two,5.5,2,Two
Scud,6.75,2,Scud
Puppetmaster,8,2,Puppetmaster
President'S Daughter,7.5,2,Daughter
Airport Manager,10,2,Manager
The Granddaughter,6,2,Granddaughter
Surrogate Trainee,7.5,2,Trainee
Split,8,2,Split
Clapper Loader,9,2,Loader
Miss Cavendish,8.5,2,Cavendish
Member Of Entourage,6.5,2,Entourage
Laser Tag Opponent,8,2,Opponent
Teg,9.5,2,Teg
Greek Restaurant Owner,9.5,2,Owner
Philip'S Men,7,2,Men
Dynamic Damsel,6.5,2,Damsel
Bound Captive,8,2,Captive
Bank Worker,6.25,2,Worker
Yuri'S Mother,8,2,Mother
Angelica'S Father,8.5,2,Father
Ceremony Host,6.33333,2,Host
Jagannath,9,2,Jagannath
Bar Gallery,7.5,2,Gallery
Performer In Shaving Sequence,6.5,2,Sequence
Palanka,8,2,Palanka
Mental Health Worker,8,2,Worker
Police Voice,8.5,2,Voice
Team Hot Property,9.5,2,Property
Petitioner,6.5,2,Petitioner
Kentucky,7.875,2,Kentucky
Extra In Theater,9.5,2,Theater
Forensics Technician,5,2,Technician
Television Reporter,7,2,Reporter
Pilot Officer,8,2,Officer
Newspaper Publisher,8.5,2,Publisher
The Soothsayer,8,2,Soothsayer
Sexy Teacher,9,2,Teacher
Little Kristyn Audience,6.75,2,Audience
Pussycat,7.5,2,Pussycat
Lucas'S Secretary,10,2,Secretary
Gris,8,2,Gris
Salvation Army Soldier,8,2,Soldier
Rescue Worker,9,2,Worker
Pindarus,7.66667,2,Pindarus
The Grid,6.75,2,Grid
Pitter,8.5,2,Pitter
Chesty,7.5,2,Chesty
City,7.5,2,City
Woman Buyer,9,2,Buyer
Burble,6.75,2,Burble
Paymaster,8.5,2,Paymaster
Medicine Woman,9,2,Woman
Large Inmate,7,2,Inmate
Floppy,5.5,2,Floppy
Will'S Father,5,2,Father
Masked Figure,6,2,Figure
Bod Squad,7,2,Squad
Pilates Student,8.75,2,Student
Shimmy,6.75,2,Shimmy
The Asset,7,2,Asset
Kindergarten Student,8.5,2,Student
Jacobite,8.5,2,Jacobite
Angry Businessman,7.5,2,Businessman
At Ice Cream Festival,9.5,2,Festival
The Whelp,9,2,Whelp
Chinese Teacher,7.75,2,Teacher
Pub Philosopher,8.375,2,Philosopher
Spain Team Member,7,2,Member
Maid C,7.5,2,C
Brian'S Mother,7,2,Mother
Thug B,8,2,B
Anna I,8,2,I
Girl On Raft,7.5,2,Raft
Lola'S Father,7,2,Father
Lead Builder,5,2,Builder
The Troll,7,2,Troll
Melanie C,6.94444,2,C
Wholesaler,9.5,2,Wholesaler
Hospital Director,8,2,Director
Attila The Hun,6.5,2,Hun
Lord Robert Ure,8.5,2,Ure
Timekeeper,8.25,2,Timekeeper
Lil C,6.66667,2,C
Dance Student,8,2,Student
Scanty,9.5,2,Scanty
A Janitor,7.5,2,Janitor
Private Dapper,8.75,2,Dapper
The Bride Of Frankenstein,8,2,Frankenstein
Black Manta,8,2,Manta
Kamen Rider Axe,9.07143,2,Axe
Janken Tournament Reporter,5.5,2,Reporter
Vip,6.83333,2,Vip
Man Customer,8,2,Customer
Finance Minister,9,2,Minister
Ashley Spandle,5.5,2,Spandle
Ninja Assassin,6.5,2,Assassin
Kamen Rider Mage,9.5,2,Mage
Hardfireball Opponent,5.5,2,Opponent
Cygnet,8,2,Cygnet
The Weatherman,7.5,2,Weatherman
Pedicurist,9.5,2,Pedicurist
Toothy,8.5,2,Toothy
Beach Girl At Picnic,8.5,2,Picnic
Spreadeagled Blonde,5.5,2,Blonde
Bess'S Mother,7,2,Mother
Tokyo Fever,7.23333,2,Fever
Child Ghost,9.25,2,Ghost
Social Club Member,9,2,Member
Peppy,6,2,Peppy
Humpty,4.6,2,Humpty
Biker Two,7,2,Two
Slut,7.25,2,Slut
Contortionist,6,2,Contortionist
The Criminal Trio,5.5,2,Trio
Nuke,7.375,2,Nuke
The Thing,5.875,2,Thing
Helen'S Maid,8,2,Maid
Letty'S Father,8.5,2,Father
Man In Hotel Room,8,2,Room
Baltus Van Tassel,10,2,Tassel
Casino Dealer,8.5,2,Dealer
Magma,9.5,2,Magma
Jammer,9.5,2,Jammer
Jason'S Dad,6,2,Dad
Girl On Boat,9,2,Boat
Dame Op Het Bal,8.25,2,Bal
Mayor'S Secretary,9,2,Secretary
Fullers Gang,8,2,Gang
Landlord'S Daughter,7.25,2,Daughter
Bad Customer,8,2,Customer
Illegal Immigrant,8,2,Immigrant
Third Cop,9,2,Cop
Eclair,8,2,Eclair
Stevedore,7.5,2,Stevedore
Head Mobster,9.5,2,Mobster
Pagan Woman,9,2,Woman
Pretzel Vendor,8,2,Vendor
Liqueur,8.14286,2,Liqueur
Jehovah Witness,7,2,Witness
Mechanical,10,2,Mechanical
Violin Teacher,8,2,Teacher
Ketchup,8,2,Ketchup
Calluna,4.83333,2,Calluna
Bebop,7.75,2,Bebop
Young Stud,8.5,2,Stud
Train Commuter,8.5,2,Commuter
Dinner Crowd,9.5,2,Crowd
Gothic Diner,9.5,2,Diner
Senior International Correspondent,7.5,2,Correspondent
The Hurricane,6.975,2,Hurricane
Masked Marauder,8,2,Marauder
The Henchman,8,2,Henchman
The Store Manager,7.5,2,Manager
Santa Spotter,7.5,2,Spotter
Complice,7.16667,2,Complice
Foreign Conspirator,8.5,2,Conspirator
All Seeing Chorus,8,2,Chorus
Scary Spice,8,2,Spice
Bonze Entourage,8.5,2,Entourage
Scrub Nurse,6,2,Nurse
Snowdrop,9,2,Snowdrop
Shoot,6,2,Shoot
Court Bailiff,8,2,Bailiff
Boy In Bates' Classroom,7.5,2,Classroom
String,7.16667,2,String
Parfait,8.625,2,Parfait
Theatre Woman,7.5,2,Woman
Lesbian Slave,8.5,2,Slave
Thundercloud,6,2,Thundercloud
Thanks,6,2,Thanks
Ms. March Hopeful,7.5,2,Hopeful
Spit,8.33333,2,Spit
Mr. V,8,2,V
Nypd Cop,8,2,Cop
Comedy Team,10,2,Team
Russian Delegate,8,2,Delegate
Hazmat Figure,9.5,2,Figure
Addiction,8,2,Addiction
Piano Instructor,7,2,Instructor
Dying Soldier,8.5,2,Soldier
Slim'S Wife,7,2,Wife
The Wing Duo,8.05,2,Duo
Jenny'S Lover,8,2,Lover
Psychology Professor,9,2,Professor
The Florist,8,2,Florist
Melon,6,2,Melon
Woofer,8.05882,2,Woofer
Old Turtle,8.75,2,Turtle
Virginia'S Father,7,2,Father
Young Actor,8.5,2,Actor
Stander,6.4,2,Stander
Man In Uniform,8,2,Uniform
Bogey,9,2,Bogey
Looter,7.75,2,Looter
Junkman,9.5,2,Junkman
Customer Service,9.5,2,Service
Le Livreur De Pizza,6.25,2,Pizza
Abbess,8.5,2,Abbess
Competition Announcer,9,2,Announcer
Bible Study Member,6.5,2,Member
Defence,9,2,Defence
Cartel Member,7,2,Member
Guy B,8,2,B
Lord Advocate,7,2,Advocate
Spoiler,8.5,2,Spoiler
Hogtied Office Worker,5.5,2,Worker
Destitute Woman,8.5,2,Woman
Pamphilius,8,2,Pamphilius
Sergeant Totty,8,2,Totty
Gijs De Groot,8.47308,2,Groot
Sitcom Wife,10,2,Wife
Dance Director,8,2,Director
Drink Server,6.5,2,Server
Orange Team,7.5,2,Team
Mrs. C,6.05556,2,C
Greg Richling,7.66667,2,Richling
Fun,9.05556,2,Fun
Nightmare Fighter,7,2,Fighter
Mortimer Mouse,8.14286,2,Mouse
Movement,9.5,2,Movement
Candlestick Maker Victim,5.75,2,Victim
Sivil Polis,10,2,Polis
Flower Vendor,8.5,2,Vendor
2Nd Gendarme,7,2,Gendarme
Debate Moderator,8.5,2,Moderator
Himself - Contestant,6.5,2,Contestant
Harry'S Uncle,8.5,2,Uncle
Alien Guard,8,2,Guard
Homeless Victim,6.66667,2,Victim
Number Zero,5,2,Zero
Citizen Of Wonderland,9.5,2,Wonderland
At Gallery,9.5,2,Gallery
Whisperer,6.1,2,Whisperer
Fresno,7.5,2,Fresno
Door-To-Door Salesman,8,2,Salesman
Tai-Chi Performer,8.5,2,Performer
Pin,7.33333,2,Pin
Insomniac,7.5,2,Insomniac
Woman On Doorstep,6.5,2,Doorstep
Magic Voice,8.5,2,Voice
Interrogating Officer,8,2,Officer
Tony Cavendish,9,2,Cavendish
Child Witness,8,2,Witness
Fux Announcer,8.5,2,Announcer
Irate Neighbor,6.75,2,Neighbor
Tink,7.3,2,Tink
Defence Solicitor,8.5,2,Solicitor
Disgruntled Customer,5.5,2,Customer
Sick Student,8,2,Student
Estudiante De Pintura,8.5,2,Pintura
3Rd Guard,6.5,2,Guard
Deaf Student,6,2,Student
Avalanche,8.5,2,Avalanche
Police Operator,6.5,2,Operator
Snape,8.5,2,Snape
Bulb,7,2,Bulb
Pete'S Father,8,2,Father
Green Team Member,7.5,2,Member
Anna'S Lover,7.5,2,Lover
Komi,9.5,2,Komi
Princess Pea,6.16667,2,Pea
Tea Victim,7.5,2,Victim
Mage,8.57692,2,Mage
Little Monster,6.36667,2,Monster
Jaume I,7.25,2,I
Newspaperman,8,2,Newspaperman
Cattle Thief,6.5,2,Thief
Crier,6.5,2,Crier
Maggie'S Mother,7.5,2,Mother
2Nd Baseman,6.25,2,Baseman
Sir Miles Standing,8.5,2,Standing
Felicia Chinik,9.5,2,Chinik
Outside Saloon,8,2,Saloon
Political Commissar,6.5,2,Commissar
Hana'S Mother,10,2,Mother
Boutique Manager,10,2,Manager
Team Swimmer,9.5,2,Swimmer
Second Actor,10,2,Actor
Pounder,9.5,2,Pounder
Racist Cop,5.5,2,Cop
Triple H,8.5,2,H
The Man Upstairs,5.5,2,Upstairs
Woman C,8.5,2,C
Glitter,6.185,2,Glitter
Rin'S Father,6.66667,2,Father
Television Producer,8,2,Producer
Goofy Ghost,5,2,Ghost
Larva,9,2,Larva
A Convict,8,2,Convict
First Suitor,7,2,Suitor
Ucla Student,8.25,2,Student
Kaoruko Bodyguard,7.5,2,Bodyguard
Janek'S Mother,8.5,2,Mother
Myself,5.75,2,Myself
Headless Horseman,8.5,2,Horseman
Launch,8.69811,2,Launch
Director Of Hospital,9,2,Hospital
Corpsman,9.5,2,Corpsman
Scribe,9,2,Scribe
House Wife,6,2,Wife
Father Superior,9.5,2,Superior
Roller Derby Skater,7.25,2,Skater
Blue Team Member,6.5,2,Member
Hard Drive,10,2,Drive
Tv Talk Show Host,5.5,2,Host
Abruti Près Du Feu,9,2,Feu
Beefy,9,2,Beefy
First Actor,9,2,Actor
Younger Detective,9.5,2,Detective
Gelder,8.5,2,Gelder
Greek Soldier,8,2,Soldier
Cueball,8,2,Cueball
Kung Fu Fighter,9,2,Fighter
Ginger Snap,8,2,Snap
The Sweetheart'S Father,7.5,2,Father
Forensic Examiner,8,2,Examiner
Larry'S Wife,7.5,2,Wife
Theatre Audience Member,8.5,2,Member
Woman On Bus,8.5,2,Bus
Man On Computer,7.33333,2,Computer
Shades Soloist,9.5,2,Soloist
Operative,6.5,2,Operative
Media Conference,8.5,2,Conference
Sydney Dimera,7.95,2,Dimera
Her Sweetheart,7.5,2,Sweetheart
Signal,6,2,Signal
Train,6.5,2,Train
Gazebo,7.5,2,Gazebo
Kid Fitness,8.5,2,Fitness
1St Father,8,2,Father
Man In Fight,9.5,2,Fight
Military,8,2,Military
Old Bloke,8.5,2,Bloke
Il Generale,5.33333,2,Generale
Gym Hunk,6.5,2,Hunk
Foreign Secretary,6.5,2,Secretary
Pest Control,7.16667,2,Control
Nightclub Bartender,8.5,2,Bartender
Radio Listener,6.5,2,Listener
Nina'S Father,8,2,Father
Undead,8,2,Undead
Trench,9.33333,2,Trench
Inca,6.5,2,Inca
Jenny'S Father,8,2,Father
Theirselves,7.75,2,Theirselves
Goth Teen,7,2,Teen
Senior Officer,7.25,2,Officer
Hog,8,2,Hog
Sesame Street Muppet(Tm) Performer,8.5,2,Performer
Little Wiggle,5.75,2,Wiggle
Diego'S Father,7,2,Father
Executive Woman,8,2,Woman
Elizabeth I,8,2,I
The Nursemaid,7.5,2,Nursemaid
White Dog,9.5,2,Dog
White Slave,8.5,2,Slave
Thierry Nerval,7.75,2,Nerval
Bodyguard A,7.5,2,A
Scream,8.25,2,Scream
Tampa Pd Swat Officer,9,2,Officer
Cleopatra'S Handmaiden,9.5,2,Handmaiden
Opposing Defender,7.5,2,Defender
Woman On Plane,7.75,2,Plane
Priest'S Wife,8.5,2,Wife
Man With Gun,8.5,2,Gun
Violin Virtuosi Member,7.5,2,Member
Weight Loss Victim,6.25,2,Victim
Spin Class Student,8.5,2,Student
Secret Diner,6.5,2,Diner
Undercover,7.5,2,Undercover
Cabaret Owner,8,2,Owner
A Confederate,6.5,2,Confederate
Science Student,9,2,Student
Sea Monster,6.25,2,Monster
Manami'S Mother,7.5,2,Mother
Pas De Quatre,9,2,Quatre
Rudge,9,2,Rudge
The Mule,6.25,2,Mule
First Audience Member,8.5,2,Member
Histeria Kid Chorus,7.5,2,Chorus
Figgy,8,2,Figgy
Boy In Comic Strip,6.5,2,Strip
Artist Model,9.5,2,Model
Wad,6.66667,2,Wad
Girl Thug,10,2,Thug
Mohan'S Father,9.5,2,Father
Geronimo Stilton,8,2,Stilton
Manga,9.5,2,Manga
Weather Woman,7.75,2,Woman
Army Nurse,6.75,2,Nurse
Man In Flat,8,2,Flat
City Official,9.5,2,Official
Principal Interviewee,8.5,2,Interviewee
Rebel Officer,6.5,2,Officer
Ulama Team,5.5,2,Team
Coz,9.5,2,Coz
Guest A,9,2,A
Peace Corps Volunteer,9,2,Volunteer
Dark Widow,7,2,Widow
Rimfire,6.5,2,Rimfire
La Duchesse,9.5,2,Duchesse
The Music Teacher,8.5,2,Teacher
Fuji,6.41667,2,Fuji
Operetta,7.875,2,Operetta
Drayman,7.5,2,Drayman
Pet Store Owner,9,2,Owner
Upset Audience Member,8.5,2,Member
Captive Executive,6,2,Executive
German Spy,7.75,2,Spy
Girl In Window,9,2,Window
Audiologist,9,2,Audiologist
Film Crew Member,7.5,2,Member
Carlos V,10,2,V
Cotroni Soldier,9.5,2,Soldier
Second Audience Member,9.5,2,Member
The Schoolteacher,8,2,Schoolteacher
Party Figure,9.5,2,Figure
Slave Soft,8.5,2,Soft
Jonathan'S Mother,8,2,Mother
Satyr,7.5,2,Satyr
The Torturer,7.5,2,Torturer
Celebrity Feature,6.5,2,Feature
Sid Technician,5.625,2,Technician
Jimmy'S Father,8.5,2,Father
Student B,8,2,B
Salon Receptionist,9,2,Receptionist
Gazi,7.9375,2,Gazi
Wiener,8,2,Wiener
Telly Monster,7.5,2,Monster
